video_id,signer
movies/00/mossa-00003-tecken.mp4,signer_15
movies/00/indien-00004-tecken.mp4,signer_0
movies/00/himmel-00005-tecken.mp4,signer_2
movies/00/forstar-inte-00006-tecken.mp4,signer_3
movies/00/ansikte-00007-tecken.mp4,signer_0
movies/00/mimik-00008-tecken.mp4,signer_0
movies/00/yngst-00009-tecken.mp4,signer_0
movies/00/bjorn-00010-tecken.mp4,signer_0
movies/00/fjaska-00101-tecken.mp4,signer_2
movies/00/presentera-00102-tecken.mp4,signer_2
movies/00/fa-tyst-pa-00103-tecken.mp4,signer_2
movies/00/groda-00104-tecken.mp4,signer_15
movies/00/sjo-00105-tecken.mp4,signer_15
movies/00/racka-00106-tecken.mp4,signer_15
movies/00/tillrackligt-00107-tecken.mp4,signer_15
movies/00/njuta-00109-tecken.mp4,signer_15
movies/00/fa-nog-00110-tecken.mp4,signer_15
movies/00/dotter-00111-tecken.mp4,signer_1
movies/00/for-sakerhets-skull-00112-tecken.mp4,signer_15
movies/00/igelkott-00113-tecken.mp4,signer_3
movies/00/mode-00114-tecken.mp4,signer_2
movies/00/belgien-00116-tecken.mp4,signer_1
movies/00/hander-inget-00117-tecken.mp4,signer_15
movies/00/behover-inte-00118-tecken.mp4,signer_1
movies/00/dinosaurie-00120-tecken.mp4,signer_1
movies/00/allvar-00121-tecken.mp4,signer_0
movies/00/massan-00122-tecken.mp4,signer_1
movies/00/vem-00123-tecken.mp4,signer_2
movies/00/vilken-00124-tecken.mp4,signer_1
movies/00/lussekatt-00127-tecken.mp4,signer_1
movies/00/kudde-00128-tecken.mp4,signer_1
movies/00/nacke-00129-tecken.mp4,signer_1
movies/00/bibliotek-00130-tecken.mp4,signer_2
movies/00/kat-00131-tecken.mp4,signer_2
movies/00/vatten-00132-tecken.mp4,signer_3
movies/00/hata-00133-tecken.mp4,signer_8
movies/00/kalsong-00134-tecken.mp4,signer_15
movies/00/avratta-00135-tecken.mp4,signer_15
movies/00/knekt-00136-tecken.mp4,signer_1
movies/00/dialekt-00137-tecken.mp4,signer_2
movies/00/torstig-00139-tecken.mp4,signer_15
movies/00/lakan-00140-tecken.mp4,signer_15
movies/00/bli-samre-00142-tecken.mp4,signer_2
movies/00/ombud-00143-tecken.mp4,signer_15
movies/00/italien-00144-tecken.mp4,signer_1
movies/00/personal-00145-tecken.mp4,signer_1
movies/00/service-00146-tecken.mp4,signer_15
movies/00/svag-00147-tecken.mp4,signer_2
movies/00/fardtjanst-00148-tecken.mp4,signer_2
movies/00/ved-00150-tecken.mp4,signer_15
movies/00/amputera-00151-tecken.mp4,signer_6
movies/00/spanien-00152-tecken.mp4,signer_4
movies/00/vanster-00153-tecken.mp4,signer_2
movies/00/hoger-00154-tecken.mp4,signer_2
movies/00/kapten-00155-tecken.mp4,signer_1
movies/00/avancerad-00156-tecken.mp4,signer_2
movies/00/beharska-00157-tecken.mp4,signer_2
movies/00/erfaren-00158-tecken.mp4,signer_2
movies/00/duktig-pa-00159-tecken.mp4,signer_1
movies/00/snogubbe-00160-tecken.mp4,signer_1
movies/00/kompetens-00161-tecken.mp4,signer_15
movies/00/grans-00162-tecken.mp4,signer_2
movies/00/tycka-om-00163-tecken.mp4,signer_2
movies/00/glad-00165-tecken.mp4,signer_2
movies/00/gott-00166-tecken.mp4,signer_8
movies/00/vill-00167-tecken.mp4,signer_8
movies/00/brost-00168-tecken.mp4,signer_2
movies/00/pinsam-00170-tecken.mp4,signer_0
movies/00/god-00172-tecken.mp4,signer_1
movies/00/ma-00173-tecken.mp4,signer_8
movies/00/skon-00174-tecken.mp4,signer_8
movies/00/onskan-00175-tecken.mp4,signer_15
movies/00/moster-00176-tecken.mp4,signer_1
movies/00/antligen-over-00177-tecken.mp4,signer_15
movies/00/garna-00178-tecken.mp4,signer_2
movies/00/hoppas-00179-tecken.mp4,signer_2
movies/00/tycka-00182-tecken.mp4,signer_15
